Date,Target
12/26/2003,25.0220871
12/29/2003,25.63900948
12/30/2003,25.45990372
12/31/2003,25.47317505
1/2/2004,25.0220871
1/5/2004,24.80980301
1/6/2004,25.58594322
1/7/2004,25.38694
1/8/2004,25.04862785
1/9/2004,24.577631
1/12/2004,24.77000809
1/13/2004,25.36702728
1/14/2004,25.44001198
1/15/2004,25.90437508
1/16/2004,25.97732925
1/20/2004,25.15475655
1/21/2004,25.38030624
1/22/2004,25.47317505
1/23/2004,25.8711853
1/26/2004,25.55277634
1/27/2004,25.72525215
1/28/2004,24.85625648
1/29/2004,25.22109604
1/30/2004,25.18129539
2/2/2004,25.5991993
2/3/2004,25.8711853
2/4/2004,25.8711853
2/5/2004,25.93752861
2/6/2004,26.16306114
2/9/2004,26.22278404
2/10/2004,27.39692497
2/11/2004,27.6291008
2/12/2004,27.67553139
2/13/2004,27.31069183
2/17/2004,27.78168678
2/18/2004,28.1006279
2/19/2004,27.71523476
2/20/2004,28.33319283
2/23/2004,28.51924706
2/24/2004,28.38634491
2/25/2004,28.51259232
2/26/2004,28.70529366
2/27/2004,29.21029282
3/1/2004,29.5093174
3/2/2004,28.9577961
3/3/2004,28.96444702
3/4/2004,29.08403778
3/5/2004,28.70529366
3/8/2004,28.52588463
3/9/2004,28.47271919
3/10/2004,27.72851944
3/11/2004,29.7020092
3/12/2004,30.31998253
3/15/2004,29.99438286
3/16/2004,30.09404182
3/17/2004,29.90135384
3/18/2004,29.82826042
3/19/2004,29.72195053
3/22/2004,29.38307381
3/23/2004,29.13056946
3/24/2004,29.12391281
3/25/2004,29.51595306
3/26/2004,29.57575607
3/29/2004,30.18708229
3/30/2004,30.04089355
3/31/2004,29.92795563
4/1/2004,29.44951248
4/2/2004,29.73523903
4/5/2004,29.95451355
4/6/2004,30.16714668
4/7/2004,29.77510643
4/8/2004,29.34983635
4/12/2004,29.80168724
4/13/2004,29.04418564
4/14/2004,28.47938919
4/15/2004,29.0308857
4/16/2004,29.42294121
4/19/2004,29.10398102
4/20/2004,29.04418564
4/21/2004,29.30332565
4/22/2004,29.8747654
4/23/2004,29.72859001
4/26/2004,29.38307381
4/27/2004,29.59570122
4/28/2004,29.38307381
4/29/2004,28.83820152
4/30/2004,28.81826019
5/3/2004,29.28338814
5/4/2004,29.30332565
5/5/2004,29.70865059
5/6/2004,29.33655548
5/7/2004,28.74516296
5/10/2004,28.93787384
5/11/2004,29.42957306
5/12/2004,29.4694519
5/13/2004,28.68536186
5/14/2004,28.57240677
5/17/2004,28.04747009
5/18/2004,28.85946655
5/19/2004,28.80622101
5/20/2004,28.63984489
5/21/2004,28.75963783
5/24/2004,29.12570572
5/25/2004,29.37196732
5/26/2004,29.05248642
5/27/2004,29.55831718
5/28/2004,29.75134468
6/1/2004,29.45850372
6/2/2004,30.20392799
6/3/2004,30.19062614
6/4/2004,30.09079742
6/7/2004,30.53673553
6/8/2004,30.74970818
6/9/2004,30.37034416
6/10/2004,30.45020485
6/14/2004,30.45020485
6/15/2004,30.75636673
6/16/2004,30.61660385
6/17/2004,30.7430439
6/18/2004,30.60995674
6/21/2004,30.90279198
6/22/2004,30.05751419
6/23/2004,30.49679184
6/24/2004,30.25051498
6/25/2004,29.58496094
6/28/2004,29.31207848
6/29/2004,28.14730453
6/30/2004,28.26711082
7/1/2004,28.12069511
7/2/2004,27.78789139
7/6/2004,27.4484539
7/7/2004,27.61485672
7/8/2004,27.15558434
7/9/2004,27.46840858
7/12/2004,28.18724442
7/13/2004,29.04583931
7/14/2004,28.36028481
7/15/2004,28.35362053
7/16/2004,28.22052193
7/19/2004,28.44682693
7/20/2004,28.95931625
7/21/2004,28.61986923
7/22/2004,28.69973946
7/23/2004,29.17230034
7/26/2004,28.46678352
7/27/2004,29.46515656
7/28/2004,29.3054142
7/29/2004,29.50508499
7/30/2004,29.01922798
8/2/2004,29.21222687
8/3/2004,28.91937065
8/4/2004,28.70640755
8/5/2004,27.79454041
8/6/2004,27.1622467
8/9/2004,27.3486042
8/10/2004,27.3286438
8/11/2004,26.90267944
8/12/2004,27.8877449
8/13/2004,28.57992744
8/16/2004,29.22553825
8/17/2004,29.27213097
8/18/2004,29.41215897
8/19/2004,29.27879333
8/20/2004,29.2121315
8/23/2004,29.16543961
8/24/2004,29.55885124
8/25/2004,29.85890388
8/26/2004,29.78558159
8/27/2004,29.96559906
8/30/2004,29.8322258
8/31/2004,29.72555733
9/1/2004,29.97891998
9/2/2004,30.49236488
9/3/2004,30.62570763
9/7/2004,30.83908081
9/8/2004,30.54570389
9/9/2004,30.11895561
9/10/2004,30.55237579
9/13/2004,30.83908081
9/14/2004,30.81242943
9/15/2004,30.39901733
9/16/2004,30.23898125
9/17/2004,30.2189846
9/20/2004,30.25899124
9/21/2004,30.44568634
9/22/2004,30.25899124
9/23/2004,30.11229134
9/24/2004,30.81909561
9/27/2004,30.50570679
9/28/2004,30.55904579
9/29/2004,30.54570389
9/30/2004,30.17231178
10/1/2004,30.30566406
10/4/2004,31.13249397
10/5/2004,31.01912308
10/6/2004,31.40587234
10/7/2004,31.42588234
10/8/2004,31.5592289
10/11/2004,31.84594154
10/12/2004,31.6325779
10/13/2004,31.11914635
10/14/2004,30.68573189
10/15/2004,31.26582718
10/18/2004,31.83927536
10/19/2004,32.31270599
10/20/2004,32.11933136
10/21/2004,32.07265091
10/22/2004,31.81260109
10/25/2004,31.8926239
10/26/2004,32.31270599
10/27/2004,32.97282791
10/28/2004,33.33955765
10/29/2004,33.35290146
11/1/2004,33.65295792
11/2/2004,33.67295074
11/3/2004,33.58627319
11/4/2004,34.22640228
11/5/2004,34.55978394
11/8/2004,34.37976456
11/9/2004,34.06635284
11/10/2004,33.92635727
11/11/2004,33.85297775
11/12/2004,34.68647766
11/15/2004,34.95986557
11/16/2004,34.31305313
11/17/2004,34.07265091
11/18/2004,34.45998764
11/19/2004,34.25297546
11/22/2004,34.19286346
11/23/2004,34.52676392
11/24/2004,34.70710754
11/26/2004,34.86737061
11/29/2004,34.66033936
11/30/2004,34.2062149
12/1/2004,34.68037796
12/2/2004,34.99427414
12/3/2004,34.52676392
12/6/2004,34.13275146
12/7/2004,33.97916412
12/8/2004,34.50006104
12/9/2004,34.67370224
12/10/2004,34.52676392
12/13/2004,34.39988327
12/14/2004,34.68037796
12/15/2004,34.59355545
12/16/2004,34.18619156
12/17/2004,33.74541855
12/20/2004,33.75209808
12/21/2004,33.79216766
12/22/2004,33.83223343
12/23/2004,33.72539902
12/27/2004,34.26632309
12/28/2004,34.63362885
12/29/2004,34.52676392
12/30/2004,34.79389954
12/31/2004,34.68037796
1/3/2005,34.59355545
1/4/2005,34.21957397
1/5/2005,34.2462883
1/6/2005,32.38972092
1/7/2005,32.73699951
1/10/2005,33.17775726
1/11/2005,32.8638916
1/12/2005,33.21783447
1/13/2005,32.89060211
1/14/2005,33.22451401
1/18/2005,33.52503586
1/19/2005,33.3514061
1/20/2005,33.35808563
1/21/2005,32.79042435
1/24/2005,32.49658203
1/25/2005,32.78373337
1/26/2005,33.72539902
1/27/2005,33.49832153
1/28/2005,33.05088425
1/31/2005,33.90570068
2/1/2005,33.85894394
2/2/2005,34.26632309
2/3/2005,34.55349731
2/4/2005,34.40657043
2/7/2005,34.30640411
2/8/2005,33.81888962
2/9/2005,33.19112015
2/10/2005,32.76371384
2/11/2005,32.87725067
2/14/2005,33.19112015
2/15/2005,33.27126312
2/16/2005,32.82311249
2/17/2005,33.55218887
2/18/2005,33.85990906
2/22/2005,33.43849182
2/23/2005,34.11408234
